wo_serial,wo_deal_name,wo_customer_code,wo_normalized_client,wo_sector,wo_owner,wo_po_date,matched_deal_row_id,matched_deal_name,matched_client_code,matched_deal_sector,matched_deal_owner,matched_deal_status,matched_deal_date,confidence_tier,match_score,match_notes
SDPLDEAL-146,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-10-27,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-147,Katara,WOCOMPANY_037,COMPANY037,Railways,OWNER_003,2025-10-28,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-149,Sakura,WOCOMPANY_002,COMPANY002,Renewables,OWNER_003,2025-10-30,28.0,Sakura,COMPANY009,Renewables,OWNER_003,Open,,MATCHED_HIGH,90.0,"High confidence composite match (90 pts, margin 15): Exact Deal Name; Matching Sector; Matching Owner; Status: Open"
SDPLDEAL-150,Dolphin,WOCOMPANY_029,COMPANY029,Powerline,OWNER_002,2025-08-12,,,,,,,,UNMATCHED,0.0,Deal name 'Dolphin' does not exist in Deals board
SDPLDEAL-151,Yuji Itadori,WOCOMPANY_006,COMPANY006,Renewables,OWNER_003,2025-11-06,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-152,Ben Tennyson,WOCOMPANY_033,COMPANY033,Renewables,OWNER_003,2025-11-04,,,,,,,,UNMATCHED,110.0,"Ambiguous multiple candidates (best score 110, runner-up 110, margin 0)"
SDPLDEAL-153,Megumi,WOCOMPANY_007,COMPANY007,Renewables,OWNER_003,2025-04-01,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-154,Donkey,WOCOMPANY_040,COMPANY040,Railways,OWNER_003,2025-11-10,,,,,,,,UNMATCHED,55.0,"Ambiguous multiple candidates (best score 55, runner-up 55, margin 0)"
SDPLDEAL-155,Donkey,WOCOMPANY_040,COMPANY040,Railways,OWNER_003,2025-11-12,,,,,,,,UNMATCHED,55.0,"Ambiguous multiple candidates (best score 55, runner-up 55, margin 0)"
SDPLDEAL-156,Golden fish,WOCOMPANY_027,COMPANY027,Mining,OWNER_006,2025-10-16,,,,,,,,UNMATCHED,0.0,Deal name 'Golden fish' does not exist in Deals board
SDPLDEAL-157,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_005,2025-11-14,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-158,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-10-23,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-159,Timon,WOCOMPANY_046,COMPANY046,Renewables,OWNER_001,2025-11-08,285.0,Timon,COMPANY038,Renewables,OWNER_001,Won,,MATCHED_HIGH,110.0,"High confidence composite match (110 pts, margin 25): Exact Deal Name; Matching Sector; Matching Owner; Status: Won"
SDPLDEAL-160,Timon,WOCOMPANY_046,COMPANY046,Renewables,OWNER_001,2025-11-08,285.0,Timon,COMPANY038,Renewables,OWNER_001,Won,,MATCHED_HIGH,110.0,"High confidence composite match (110 pts, margin 25): Exact Deal Name; Matching Sector; Matching Owner; Status: Won"
SDPLDEAL-161,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-11-21,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
SDPLDEAL-162,Whis,WOCOMPANY_025,COMPANY025,Railways,OWNER_003,2025-12-01,,,,,,,,UNMATCHED,-35.0,Below confidence threshold (best score -35): Exact Deal Name; Conflicting Sector; Dead Deal Status
SDPLDEAL-163,Rengoku,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-12-01,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-164,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-11-27,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-165,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-11-28,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-166,Alphonse,WOCOMPANY_009,COMPANY009,Renewables,OWNER_001,2025-11-28,,,,,,,,UNMATCHED,20.0,Below confidence threshold (best score 20): Exact Deal Name; Matching Sector; Dead Deal Status
SDPLDEAL-167,Obito,WOCOMPANY_023,COMPANY023,Mining,OWNER_003,2025-12-05,,,,,,,,UNMATCHED,-10.0,Below confidence threshold (best score -10): Exact Deal Name; Conflicting Sector; Matching Owner; Dead Deal Status
SDPLDEAL-168,Stewie Griffin,WOCOMPANY_029,COMPANY029,Powerline,OWNER_002,2025-12-17,,,,,,,,UNMATCHED,30.0,Below confidence threshold (best score 30): Exact Deal Name; Conflicting Sector; Status: Won
SDPLDEAL-169,Scooby-Doo,WOCOMPANY_002,COMPANY002,Mining,OWNER_003,2025-12-13,,,,,,,,UNMATCHED,85.0,"Ambiguous multiple candidates (best score 85, runner-up 85, margin 0)"
